id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-20.85542,7.984426,27.84743	0.9663067,0,0.2573937		3.577521
2	3	1		32.459,8.395635,21.85802	0.1082687,0,-0.9941218		2.077521
3	4	2		15.38629,7.906384,48.39997	0.9708601,0,0.2396469		3.877522
4	5	3		42.35992,7.906384,64.4549	0.999894,0,-0.01456058		3.877522
5	6	4		21.23889,7.085027,58.34814	0.2246814,0,0.9744323		7.777527
6	7	5		27.2865,7.984424,84.61909	-0.05871238,0,0.9982749		3.577527
7	8	6		-32.69513,6.978465,65.8478	0,0,0.9999989		8.527526
8	9	7		-32.65849,8.024039,89.15452	0.01979287,0,0.9998041		3.427526
9	10	8		-8.015151,8.064032,60.10299	-0.9989581,0,-0.04563951		3.277525
10	11	9		-35.99965,8.786051,44.82276	-0.9993698,0,0.03549504		0.7275248
11	-1	10		-7.698316,9.659468,48.00078	-0.4853301,0,-0.874331		-2.272461
