id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		4.631174,8.206749,10.51878	-0.4651307,0,0.885242		2.7525
2	3	1		-16.00381,8.332079,24.23919	-0.9763666,0,0.2161211		2.3025
3	4	2		-46.85426,7.925746,38.66831	-0.996223,0,0.08683079		3.8025
4	5	3		-62.77897,7.925746,40.0563	-0.996223,0,0.08683079		3.8025
5	6	4		-25.52857,8.206749,31.16861	0.3095367,0,0.9508875		2.7525
6	7	5		-11.96066,8.676414,57.12845	0.2339767,0,0.9722422		1.1025
7	8	6		-4.866525,10.00767,66.32437	-0.01777848,0,0.9998419		-3.547485
8	9	7		15.91373,6.75,61.99958	0.1466237,0,0.9891924		22.4025
9	10	8		27.68608,7.279085,40.42429	0.9917131,0,-0.1284726		6.652503
10	11	9		53.53364,8.332078,39.02487	0.998864,0,-0.0476526		2.302503
11	12	10		52.90102,7.008436,27.70801	0.9976469,0,-0.06856096		8.302502
12	13	11		40.47094,9.117019,18.14665	-0.01625404,0,-0.9998679		-0.3974915
13	-1	12		-31.78359,8.589246,25.16596	-0.223784,0,-0.9746388		1.402501
