id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		0,8.306811,-2.999999	0,0,0.9999966		2.392507
2	3	1		-11.74445,8.563211,9.233409	-0.6454575,0,0.7637962		1.492506
3	4	2		-60.4296,8.737733,16.34606	-0.9037094,0,0.4281465		0.8925052
4	5	3		-91.30962,9.17873,13.02086	-0.7552821,0,0.6553999		-0.6074829
5	6	4		-90.38943,8.223309,26.48719	0,0,0.9999692		2.692504
6	7	5		-35.15843,8.223309,26.05342	0,0,0.9999692		2.692504
7	8	6		20.12934,8.223309,25.61921	0,0,0.9999692		2.692504
8	9	7		77.94984,8.223309,25.1651	0,0,0.9999692		2.692504
9	-1	8		90.21924,7.574324,4.079433	-0.6593462,0,0.7518395		5.242503

