ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
3	./Images/京都国立近代美術館/1000.jpg	-54.00668,31.84,52.90848	1,0,0	0,1,0	0,0,1	0.7167083	-4.335998	0.2	2	Wooden	1:3	5
4	./Images/京都国立近代美術館/画像1.png	-54.00668,31.84,52.90848	1,0,0	0,1,0	0,0,1	9.623407	-14.6995	0.2	1	none(caption)	1:3	6
5	./Images/京都国立近代美術館/1001.jpg	-0.09464858,31.84,52.83061	1,0,0	0,1,0	0,0,1	-0.4857692	-4.965999	0.2	1.3	Metal_Vertical2	2:3	7
7	./Images/京都国立近代美術館/画像3.png	-0.09464858,31.84,52.83061	1,0,0	0,1,0	0,0,1	6.864124	-17.88099	0.2	1	none(caption)	2:3	9
10	./Images/京都国立近代美術館/1002.jpg	52.08679,31.84,52.831	1,0,0	0,1,0	0,0,1	-3.146801	-4.776999	0.2	1.5	MetalGold	3:1	12
11	./Images/京都国立近代美術館/画像2.png	52.08679,31.84,52.831	1,0,0	0,1,0	0,0,1	-9.802476	-16.9045	0.2	1	none(caption)	3:1	13
12	./Images/京都国立近代美術館/1003.jpg	78,30,30	0,0,-1	0,1,0	1,0,0	3.236858	-3	0.2	1.5	Wooden_thin2	-1:-1	14
13	./Images/京都国立近代美術館/画像4.png	78,30,30	0,0,-1	0,1,0	1,0,0	20.07496	-3	0.2	1	none(caption)	-1:-1	15
14	./Images/京都国立近代美術館/画像5.png	-78,30,30	0,0,1	0,1,0	-1,0,0	-1.658995	-3.126	0.2	3	none(caption)	-1:-1	16
15	./Images/京都国立近代美術館/title.jpg	-47.5,30,0.5	-1,0,0	0,1,0	0,0,-1	-2.376015	-3	0.2	1.3	WoodenWhite	-1:-1	17
