id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-0.345133,8.60446,-0.3431259	-0.03402741,0,0.9994209		1.349996
2	3	1		-14.64731,8.779463,25.08063	-0.7738404,0,0.6333807		0.7499965
3	4	2		-37.19334,8.517806,46.30215	-0.9994209,0,-0.03402758		1.649997
4	5	3		-45.59298,8.179942,42.27562	-0.9999143,0,0.0130899		2.849998
5	6	4		-23.91142,8.179942,121.9375	-0.9999143,0,0.0130899		2.849998
6	7	5		-43.2238,8.179942,122.1903	-0.9999143,0,0.0130899		2.849998
7	8	6		-17.11334,7.572617,144.5403	0.1019249,0,0.9947921		5.249998
8	9	7		-8.712423,7.978524,173.5417	-0.01570715,0,0.9998766		3.599995
9	10	8		12.07486,7.260728,143.284	0.9973144,0,-0.07323861		6.749998
10	11	9		36.0349,8.779463,144.8606	0.9999143,0,-0.01309001		0.7499981
11	12	10		10.75097,8.691723,78.2138	0.9692308,0,-0.2461536		1.049998
12	-1	11		34.23044,9.395543,24.12848	0.04187471,0,-0.999123		-1.350006
