ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/埼玉県立近代美術館/埼玉県立近代美術館.jpg	-82.5,48.75,0.5	-1,0,0	0,1,0	0,0,-1	-31.67983	-21.75	0.2	4	Wooden_thin2	-1:-1	0
2	./Images/埼玉県立近代美術館/1024px-仙境群鶴図-明治38年-絹本着色-双幅-埼玉県立近代美術館.jpg	-146.25,48.75,70	0,0,1	0,1,0	-1,0,0	-22.24963	-21.75	0.2	3	Wooden_thin2	-1:-1	1
3	./Images/埼玉県立近代美術館/wrk_1_auth.png	-146.25,48.75,70	0,0,1	0,1,0	-1,0,0	4.017047	-24.018	0.2	1	Wooden_thin2	-1:-1	2
4	./Images/埼玉県立近代美術館/1280px-JulesPascin-1928-Sleeping_Naked_Girl.png	0,48.75,138.25	1,0,0	0,1,0	0,0,1	-64.85514	-22.884	0.2	2	MetalGold	-1:-1	3
5	./Images/埼玉県立近代美術館/wrk_2_auth.png	0,48.75,138.25	1,0,0	0,1,0	0,0,1	-41.96408	-24.33299	0.2	1	Wooden_thin2	-1:-1	4
6	./Images/埼玉県立近代美術館/Monet_grainstacks-at-giverny-sunset_W1213.jpg	0,48.75,138.25	1,0,0	0,1,0	0,0,1	38.10933	-21.75	0.2	2	Wooden	-1:-1	5
7	./Images/埼玉県立近代美術館/wrk_0_auth.png	0,48.75,138.25	1,0,0	0,1,0	0,0,1	58.71059	-21.75	0.2	1	Wooden_thin2	-1:-1	6
8	./Images/埼玉県立近代美術館/kikkawa.jpg	146.25,48.75,70	0,0,-1	0,1,0	1,0,0	1.274406	-21.75	0.2	3	Wooden_thin	-1:-1	7
10	./Images/埼玉県立近代美術館/wrk_3_auth.png	146.25,48.75,70	0,0,-1	0,1,0	1,0,0	32.28146	-21.75	0.2	1	Wooden_thin2	-1:-1	9
11	./Images/埼玉県立近代美術館/埼玉県立近代美術館1.jpg	82.5,48.75,0.5	-1,0,0	0,1,0	0,0,-1	37.32355	-22.4115	0.2	1.4	none(caption)	-1:-1	10
