id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-6.312082,7.505437,42.24161	-0.9956619,0,-0.09304547		5.549984
2	3	1		-106.5936,7.607042,48.37645	-0.997611,0,0.06908154		5.099988
3	4	2		-128.4646,8.691727,45.96039	-0.9999994,0,0		1.049986
4	5	3		-128.4377,8.691727,71.27299	-0.9999994,0,0		1.049986
5	6	4		-82.02758,8.56105,61.68142	0.2724659,0,0.9621655		1.499988
6	7	5		-62.96952,8.22124,117.6111	0.02462633,0,0.9996967		2.699988
7	8	6		23.86028,8.22124,75.53289	0.02462633,0,0.9996967		2.699988
8	9	7		41.55675,8.22124,118.3646	0.02462633,0,0.9996967		2.699988
9	10	8		69.64709,8.823471,67.91453	0.9982514,0,0.05911285		0.5999874
10	11	9		122.1712,8.346864,70.69906	0.9977887,0,-0.06646729		2.249987
11	-1	10		128.5658,8.474752,42.9052	0.999893,0,0.01464081		1.799987
