id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-120	73.5	49.8278	57.4673	177.9785	100	51.36116	7.476642	1,1,1,1
2	spot	-120	73.5	78.9102	54.05823	189.664	100	29.37183	3.6	1,1,1,1
3	spot	120	73.5	84.70667	45.82561	0	100	48.42925	6.955413	1,1,1,1
4	spot	120	73.5	32.00581	45.29202	0	100	47.3298	6.238723	1,1,1,1
5	spot	-30	73.5	43.01995	35.5518	192.3607	100	66.38722	3.6	1,1,1,1
6	spot	150	73.5	36.0508	40.42191	103.3714	100	40	3.6	1,1,1,1
7	spot	120	73.5	28.86061	32.14272	108.7647	100	40	3.6	1,1,1,1
8	spot	60	73.5	34.32055	36.52583	62.92173	100	40	3.6	1,1,1,1
9	spot	-90	73.5	69.73055	48.21409	275.9567	83	90	2.329505	1,1,1,1
10	spot	0	73.5	55.03374	52.11018	249.8891	80	83.61222	3.469693	1,1,1,1
12	spot	120	73.5	71.40242	29.70768	253.1431	100	57.22498	3.6	1,1,1,1
13	spot	60	73.5	61.08518	46.26605	265.1701	100	90	2.227866	1,1,1,1
