ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
2	./Images/tori/2019-01-01 來禽圖—翎毛與花果的和諧奏鳴.jpg	-64.7132,23.88,38.60477	0,0,1	0,1,0	-1,0,0	9.665952	-9.102001	0.2	4	none(caption)	1:3	2
4	./Images/tori/宋 法常 寫生/img10_26.jpg	0,37.5,118.5	1,0,0	0,1,0	0,0,1	-45.90286	-17.42999	0.2	22	none(caption)	-1:-1	4
6	./Images/tori/宋 法常 寫生/img10_26 - コピー.jpg	0,37.5,118.5	1,0,0	0,1,0	0,0,1	15.2917	10.5735	0.2	30	none(caption)	-1:-1	6
9	./Images/tori/wall/宋 馬世昌 銀杏翠鳥/img9s.jpg	175.5,37.5,60	0,0,-1	0,1,0	1,0,0	-36.96544	-10.5	0.2	2	Wooden_thin	-1:-1	9
10	./Images/tori/wall/宋 馬世昌 銀杏翠鳥/叉尾太陽鳥.jpg	175.5,37.5,60	0,0,-1	0,1,0	1,0,0	-15.31645	-10.4055	0.2	2	Wooden_thin	-1:-1	10
11	./Images/tori/wall/宋 馬世昌 銀杏翠鳥/スクリーンショット 2023-10-27 105646.png	175.5,37.5,60	0,0,-1	0,1,0	1,0,0	-26.25358	-23.0685	0.2	3	Wooden_thin	-1:-1	11
12	./Images/tori/wall/宋人 桑枝黃鳥/img12s.jpg	175.5,37.5,60	0,0,-1	0,1,0	1,0,0	17.87633	-10.563	0.2	2	Wooden_thin	-1:-1	12
13	./Images/tori/wall/宋人 桑枝黃鳥/黃鸝.jpg	175.5,37.5,60	0,0,-1	0,1,0	1,0,0	39.69207	-10.5	0.2	2	Wooden_thin	-1:-1	13
14	./Images/tori/wall/明 吳彬 文杏雙禽圖/スクリーンショット 2023-10-27 105845.png	175.5,37.5,60	0,0,-1	0,1,0	1,0,0	29.01115	-23.38349	0.2	3	Wooden_thin	-1:-1	14
16	./Images/tori/wall/清 郎世寧 花陰雙鶴/img14_1.jpg	-175.5,37.5,60	0,0,1	0,1,0	-1,0,0	-11.56951	-5.523002	0.2	3	Wooden_thin	-1:-1	17
17	./Images/tori/wall/清 郎世寧 花陰雙鶴/丹頂鶴.jpg	-175.5,37.5,60	0,0,1	0,1,0	-1,0,0	26.30819	-4.4205	0.2	2	Wooden_thin	-1:-1	18
18	./Images/tori/wall/清 郎世寧 花陰雙鶴/スクリーンショット 2023-10-27 105903.png	-175.5,37.5,60	0,0,1	0,1,0	-1,0,0	31.67688	-17.6505	0.2	3	Wooden_thin	-1:-1	19
20	./Images/tori/wall/宋人 桑枝黃鳥/スクリーンショット 2023-10-27 105826.png	0,37.5,118.5	1,0,0	0,1,0	0,0,1	108.9934	-25.11599	0.2	3	Wooden_thin	-1:-1	21
21	./Images/tori/宋 法常 寫生/img10s.png	0,37.5,118.5	1,0,0	0,1,0	0,0,1	94.49523	-10.5945	0.2	2	Wooden_thin	-1:-1	22
22	./Images/tori/宋 法常 寫生/八哥、環頸雉、斑鳩、麻雀.png	0,37.5,118.5	1,0,0	0,1,0	0,0,1	123.8025	-10.5945	0.2	2	Wooden_thin	-1:-1	23
23	./Images/tori/dai/五代 黃筌 蘋婆山鳥/粉紅鸚嘴.jpg	97.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-43.76034	-1.176	0.2	2	Wooden_thin2	-1:-1	30
24	./Images/tori/dai/五代 黃筌 蘋婆山鳥/スクリーンショット 2023-10-27 104525.png	97.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-43.85123	-12.9255	0.2	2	Wooden_thin2	-1:-1	31
25	./Images/tori/dai/宋 吳炳 榴開見子/スクリーンショット 2023-10-27 104908.png	97.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-11.08637	-13.02	0.2	2	Wooden_thin2	-1:-1	32
26	./Images/tori/dai/宋 吳炳 榴開見子/白眉鶲.jpg	97.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-11.1719	-1.4595	0.2	2	Wooden_thin2	-1:-1	33
27	./Images/tori/dai/宋 徐崇嗣 枇杷綬帶/綬帶.jpg	97.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	20.65952	-1.365	0.2	2	Wooden_thin2	-1:-1	36
28	./Images/tori/dai/宋 徐崇嗣 枇杷綬帶/スクリーンショット 2023-10-27 104656.png	97.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	20.54851	-12.9885	0.2	2	Wooden_thin2	-1:-1	37
