id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		9.606698,8.552382,11.51305	-0.6816572,0,0.7316718		1.530012
2	3	1		-7.637709,7.498837,51.41348	-0.9922741,0,0.1240648		5.580012
3	4	2		-68.86565,8.130803,82.75565	-0.9988289,0,-0.04838252		3.030012
4	5	3		-133.193,9.893581,45.86904	-0.9996213,0,0.02751762		-3.119995
5	6	4		-146.89,8.509174,86.62154	-0.9988258,0,0.04844528		1.680012
6	7	5		-120.2326,8.858718,73.12315	0.1758277,0,0.984421		0.4800115
7	8	6		-11.62731,9.728811,67.32063	0.05628822,0,0.9984146		-2.519989
8	9	7		73.82764,10.38601,69.83409	0.01181163,0,0.9999303		-5.069977
9	10	8		103.183,7.434195,86.14735	0,0,0.9999992		5.880012
10	11	9		28.41861,8.858718,53.97013	0.9922742,0,-0.1240654		0.4800114
11	12	10		81.38813,9.852867,54.55209	0.9935259,0,0.1136063		-2.970001
12	13	11		150.7915,7.200709,89.68438	0.9998968,0,0.01437002		7.080011
13	14	12		151.586,7.200709,34.42405	0.9998968,0,0.01437002		7.080011
14	15	13		105.5334,7.402773,52.04086	0.1084062,0,-0.9941068		6.03001
15	16	14		143.2515,7.434195,25.36175	-0.01442766,0,-0.999896		5.880011
16	17	15		112.0925,7.434195,25.81137	-0.01442766,0,-0.999896		5.880011
17	-1	16		80.78835,7.434195,26.26307	-0.01442766,0,-0.999896		5.880011
