id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		0,7.472696,-3.000007	-0.3826836,0,0.9238795		5.700016
2	3	1		-5.723445,8.058012,11.91008	-0.9494256,0,0.3139921		3.300014
3	4	2		-18.88715,10.55944,26.2081	-0.1590219,0,-0.9872751		-5.849976
4	5	3		-14.53444,8.911662,36.7133	-0.9994209,0,0.03402925		0.3000118
5	6	4		-5.532626,6.956677,48.21675	-0.04710459,0,0.99889		8.700015
6	7	5		-6.567039,8.304708,70.15231	0,0,0.9999863		2.400014
7	8	6		14.72715,8.304708,70.04073	0,0,0.9999863		2.400014
8	9	7		23.98334,8.262829,55.20818	0.9984892,0,-0.05495119		2.550015
9	10	8		29.53079,8.262829,34.90907	0.9984892,0,-0.05495119		2.550015
10	-1	9		29.05541,8.304708,26.27124	-0.05233525,0,0.9986296		2.400014
